,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
91,2022-05-25,276.55168823427545,235.72740304306427,307.27331584314834,276.55168823427545,276.55168823427545,-3.5406784866281824,-3.5406784866281824,-3.5406784866281824,-3.5406784866281824,-3.5406784866281824,-3.5406784866281824,0.0,0.0,0.0,273.0110097476473
92,2022-05-26,276.1842393241353,234.9498393494497,311.9765106471352,276.1842393241353,276.1842393241353,-4.21961118418891,-4.21961118418891,-4.21961118418891,-4.21961118418891,-4.21961118418891,-4.21961118418891,0.0,0.0,0.0,271.9646281399464
93,2022-05-27,275.81679041399525,230.23153714916032,306.5266394701454,275.81679041399525,275.81679041399525,-5.745592871245503,-5.745592871245503,-5.745592871245503,-5.745592871245503,-5.745592871245503,-5.745592871245503,0.0,0.0,0.0,270.07119754274976
94,2022-05-31,274.34699477343486,232.17901412272926,307.6004675666428,274.34699477343486,274.34699477343486,-4.373080797678288,-4.373080797678288,-4.373080797678288,-4.373080797678288,-4.373080797678288,-4.373080797678288,0.0,0.0,0.0,269.97391397575655
95,2022-06-01,273.97954586329473,235.28374343081396,311.04812012561007,273.97954586329473,273.97954586329473,-3.540678486622553,-3.540678486622553,-3.540678486622553,-3.540678486622553,-3.540678486622553,-3.540678486622553,0.0,0.0,0.0,270.4388673766722
96,2022-06-02,273.61209695315466,234.84274618863117,306.3854620042818,273.61209695315466,273.61209695315466,-4.219611184191524,-4.219611184191524,-4.219611184191524,-4.219611184191524,-4.219611184191524,-4.219611184191524,0.0,0.0,0.0,269.3924857689631
97,2022-06-03,273.4027905644393,230.3150320279752,303.09404340466654,273.4027905644393,273.4027905644393,-5.745592871278044,-5.745592871278044,-5.745592871278044,-5.745592871278044,-5.745592871278044,-5.745592871278044,0.0,0.0,0.0,267.6571976931612
98,2022-06-06,272.77487139829293,234.6987970805248,306.93429408497474,272.77487139829293,272.77487139829293,-1.3388239440313037,-1.3388239440313037,-1.3388239440313037,-1.3388239440313037,-1.3388239440313037,-1.3388239440313037,0.0,0.0,0.0,271.43604745426165
99,2022-06-07,272.5655650095775,230.6322481269473,304.9272640656235,272.5655650095775,272.5655650095775,-4.373080797674009,-4.373080797674009,-4.373080797674009,-4.373080797674009,-4.373080797674009,-4.373080797674009,0.0,0.0,0.0,268.1924842119035
100,2022-06-08,272.35625862086204,232.06423980029183,305.5440476009119,272.35625862086204,272.35625862086204,-3.540678486631526,-3.540678486631526,-3.540678486631526,-3.540678486631526,-3.540678486631526,-3.540678486631526,0.0,0.0,0.0,268.8155801342305
101,2022-06-09,272.1469522321466,232.5398210467955,304.7763465553548,272.1469522321466,272.1469522321466,-4.219611184194138,-4.219611184194138,-4.219611184194138,-4.219611184194138,-4.219611184194138,-4.219611184194138,0.0,0.0,0.0,267.92734104795244
102,2022-06-10,271.9376458434312,228.8503755794873,303.9038152093334,271.9376458434312,271.9376458434312,-5.7455928712679185,-5.7455928712679185,-5.7455928712679185,-5.7455928712679185,-5.7455928712679185,-5.7455928712679185,0.0,0.0,0.0,266.19205297216325
103,2022-06-13,271.30972667728486,232.07338950321497,307.3407596149678,271.30972667728486,271.30972667728486,-1.338823944041802,-1.338823944041802,-1.338823944041802,-1.338823944041802,-1.338823944041802,-1.338823944041802,0.0,0.0,0.0,269.97090273324307
104,2022-06-14,271.1004202885694,229.28211238271564,302.53524795543376,271.1004202885694,271.1004202885694,-4.3730807976906,-4.3730807976906,-4.3730807976906,-4.3730807976906,-4.3730807976906,-4.3730807976906,0.0,0.0,0.0,266.7273394908788
105,2022-06-15,271.09679248823755,229.71179918956332,306.52307099972563,271.09679248823755,271.09679248823755,-3.5406784866258976,-3.5406784866258976,-3.5406784866258976,-3.5406784866258976,-3.5406784866258976,-3.5406784866258976,0.0,0.0,0.0,267.55611400161166
